STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic_sb,Economical indicator for structural business statistics,sizeclas,Size classes in number of employees,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,AT,Austria,2011,,9.99,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,AT,Austria,2012,,9.62,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,AT,Austria,2013,,9.16,,b,break in time series,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,AT,Austria,2014,,8.45,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,AT,Austria,2015,,8.37,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,AT,Austria,2016,,8.87,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,AT,Austria,2017,,7.42,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,AT,Austria,2018,,6.54,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,AT,Austria,2019,,8.08,,p,provisional,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,AT,Austria,2020,,6.17,,p,provisional,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,BA,Bosnia and Herzegovina,2017,,16.12,,p,provisional,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,BA,Bosnia and Herzegovina,2018,,17.71,,p,provisional,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,BA,Bosnia and Herzegovina,2019,,6.45,,p,provisional,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,BE,Belgium,2011,,3.80,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,BE,Belgium,2012,,4.06,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,BE,Belgium,2013,,5.50,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,BE,Belgium,2014,,5.27,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,BE,Belgium,2015,,3.77,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,BE,Belgium,2016,,4.34,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,BE,Belgium,2017,,3.90,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,BE,Belgium,2018,,4.01,,b,break in time series,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,BE,Belgium,2019,,3.68,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,BE,Belgium,2020,,4.06,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,BG,Bulgaria,2011,,20.32,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,BG,Bulgaria,2012,,16.80,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,BG,Bulgaria,2013,,17.08,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,BG,Bulgaria,2014,,15.17,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,BG,Bulgaria,2015,,15.35,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,BG,Bulgaria,2016,,18.06,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,BG,Bulgaria,2017,,15.16,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,BG,Bulgaria,2018,,17.24,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,BG,Bulgaria,2019,,18.73,,p,provisional,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,BG,Bulgaria,2020,,24.61,,p,provisional,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,CH,Switzerland,2011,,,,p,provisional,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,CH,Switzerland,2012,,,,p,provisional,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,CH,Switzerland,2013,,10.15,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,CH,Switzerland,2014,,11.03,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,CH,Switzerland,2015,,11.08,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,CH,Switzerland,2016,,10.84,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,CH,Switzerland,2017,,10.94,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,CH,Switzerland,2018,,10.70,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,CH,Switzerland,2019,,12.47,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,CY,Cyprus,2011,,12.69,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,CY,Cyprus,2012,,9.84,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,CY,Cyprus,2013,,11.81,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,CY,Cyprus,2014,,9.51,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,CY,Cyprus,2015,,9.03,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,CY,Cyprus,2016,,8.39,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,CY,Cyprus,2017,,8.55,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,CY,Cyprus,2018,,10.40,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,CY,Cyprus,2019,,10.53,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,CY,Cyprus,2020,,16.12,,p,provisional,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,CZ,Czechia,2011,,10.85,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,CZ,Czechia,2012,,11.40,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,CZ,Czechia,2013,,9.91,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,CZ,Czechia,2014,,9.28,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,CZ,Czechia,2015,,8.96,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,CZ,Czechia,2016,,9.28,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,CZ,Czechia,2017,,8.60,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,CZ,Czechia,2018,,8.37,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,CZ,Czechia,2019,,9.82,,p,provisional,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,CZ,Czechia,2020,,8.68,,e,estimated,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,DE,Germany,2011,,14.67,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,DE,Germany,2012,,14.57,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,DE,Germany,2013,,14.05,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,DE,Germany,2014,,15.33,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,DE,Germany,2015,,14.92,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,DE,Germany,2016,,15.24,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,DE,Germany,2017,,15.21,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,DE,Germany,2018,,13.79,,b,break in time series,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,DE,Germany,2019,,20.90,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,DE,Germany,2020,,15.75,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,DK,Denmark,2011,,17.59,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,DK,Denmark,2012,,17.17,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,DK,Denmark,2013,,24.46,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,DK,Denmark,2014,,23.16,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,DK,Denmark,2015,,24.59,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,DK,Denmark,2016,,18.05,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,DK,Denmark,2017,,19.55,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,DK,Denmark,2018,,20.45,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,DK,Denmark,2019,,20.39,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,DK,Denmark,2020,,24.69,,p,provisional,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,EA19,Euro area - 19 countries  (2015-2022),2014,,10.00,,de,"definition differs (see metadata), estimated",,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,EA19,Euro area - 19 countries  (2015-2022),2015,,9.80,,de,"definition differs (see metadata), estimated",,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,EA19,Euro area - 19 countries  (2015-2022),2016,,9.72,,,,,
dataflow,ESTAT:BD_9BD_SZ_CL_R2(1.0),Business demography by size class and NACE Rev. 2 activity (2004-2020),A,Annual,V97030,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,0,Zero,B-N_X_K642,Business economy except activities of holding companies,EA19,Euro area - 19 countries  (2015-2022),2017,,9.44,,,,,
